id,activity_type,activity_description,user_id,account_id,activity_date,created_at,deleted_at
133b2933-e319-4bb1-ab56-12cb1ed15194,Call,Natus voluptatem iste ab adipisci tempore aliquid.,08bef480-7ca7-4624-9756-6860f8fe8ba5,0b085d47-ab88-4355-aacb-d8150bde9b6d,2026-03-07 20:55:35,2026-05-16 13:51:15.687431,
cc302937-d044-4c07-b80e-76c062355d17,Follow-up,Possimus odio a facere autem laboriosam.,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,4f06f895-8032-49a5-bb74-d3d2cd1ada34,2026-02-19 04:15:14,2026-05-16 13:51:15.687630,
2317a3c1-bf76-4e67-a744-3d97d6366242,WhatsApp,Minima dolor reiciendis fuga rerum.,b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,5252e249-c332-49cc-a6a7-d281926ff23b,2026-02-13 05:43:18,2026-05-16 13:51:15.687719,
23a3afca-568d-44e9-a4d8-5c30d8019f89,Meeting,Quam sint nesciunt adipisci fugiat necessitatibus.,0c6634a5-fb54-4e6c-91ef-7ec0e2cc3378,b5493a77-a7b4-4d6a-b37a-3527d136bba8,2026-04-10 18:29:58,2026-05-16 13:51:15.687785,
106bbbb8-17f1-4225-8a32-929c3ef02654,WhatsApp,Quo iure veniam corporis.,6f9c7382-0bb3-450e-aef4-dc8380654217,626c1466-c963-4f1e-ba4a-0753a1755467,2026-01-27 09:54:12,2026-05-16 13:51:15.687847,
9b0732f2-132b-4e16-b0af-94948be3d82f,Call,Officiis inventore autem sequi totam.,42050019-05f0-4de7-b45b-cea5eda7386f,f7ac0bb5-e11e-483f-88b7-de8de9bd5c8c,2026-03-03 17:21:21,2026-05-16 13:51:15.687908,
2c11f2bf-f568-48c2-9b92-34090bc085af,Call,Consequuntur impedit quaerat eaque sunt incidunt vero.,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,95c9c4f5-828b-409c-88db-c20ff21f49bb,2026-01-19 14:47:10,2026-05-16 13:51:15.687966,
7470f8e6-9291-410a-a7f2-679505e8ee85,Follow-up,Illum vero excepturi sapiente id sequi in.,08bef480-7ca7-4624-9756-6860f8fe8ba5,3380655a-903a-4cb8-9964-47481916e018,2026-04-27 20:48:20,2026-05-16 13:51:15.688022,
230667b5-f707-4660-b901-6f1e7832cb2a,WhatsApp,Temporibus autem dolor officiis illum iusto quis.,e43d49a0-a034-48f7-8094-69c8ec022f41,a3f8a286-efa5-4bb3-baea-ae6366409397,2026-04-19 02:20:48,2026-05-16 13:51:15.688078,
36b77770-a2b6-4b74-96f3-d8bc949e36bb,Follow-up,Ipsa odio quae consequuntur voluptas perspiciatis.,5adbfff5-e09e-439c-ac07-42c4619ce4f5,97aa8ba1-1fdf-42d5-a25b-2ca18b95a265,2026-05-13 19:39:40,2026-05-16 13:51:15.688133,
